번호,개방자치단체코드,관리번호,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,업태구분명,좌표정보(x),좌표정보(y),위생업태명
22245,3050000,3050000-201-1977-00345,130854,서울특별시 동대문구 전농동 204-194번지,서울특별시 동대문구 전농로29길 100 (전농동),2546,신도,여관업,204893.59,452916.723,여관업
22246,3050000,3050000-201-1987-00401,130866,서울특별시 동대문구 청량리동 30-6번지,서울특별시 동대문구 왕산로 269 (청량리동),2488,베니키아호텔플라워,관광호텔,204390.0285,453618.7399,관광호텔
22247,3050000,3050000-201-1984-00051,130819,서울특별시 동대문구 용두동 689-16,서울특별시 동대문구 왕산로 110-7 (용두동),2566,용두,여인숙업,203077.2051,452824.1587,여인숙업
22248,3050000,3050000-201-1967-00090,130862,서울특별시 동대문구 제기동 486-4번지,서울특별시 동대문구 홍릉로3길 13 (제기동),2573,동대여인숙,여인숙업,203796.1216,453267.925,여인숙업
22249,3050000,3050000-201-2000-00007,130867,서울특별시 동대문구 청량리동 255-2,서울특별시 동대문구 왕산로41길 13 (청량리동),2490,동산여관,여관업,203963.3665,453195.6419,여관업
22250,3050000,3050000-201-1967-00215,130817,서울특별시 동대문구 용두동 23-25번지,서울특별시 동대문구 왕산로28길 3 (용두동),2560,동아여관,여관업,203379.213,452853.4623,여관업
22251,3050000,3050000-201-1988-00406,130872,서울특별시 동대문구 회기동 72-2번지,서울특별시 동대문구 이문로 13 (회기동),2460,발리,여관업,204743.3327,454110.8217,여관업
22252,3050000,3050000-201-2003-00025,130831,서울특별시 동대문구 이문동 341-49 지상1~3층,"서울특별시 동대문구 이문로 51-3, 1~3층 (이문동)",2452,체스모텔,여관업,204960.6322,454413.7282,여관업
22253,3050000,3050000-201-1969-00112,130860,서울특별시 동대문구 제기동 136-256번지,서울특별시 동대문구 고산자로62길 6 (제기동),2465,금보장 모텔,여인숙업,203206.0041,454098.7667,여인숙업
22254,3050000,3050000-201-1983-00395,130863,서울특별시 동대문구 제기동 844-2,서울특별시 동대문구 약령시로 80 (제기동),2571,오즈모텔,여관업,203372.0491,453387.6181,여관업
22255,3050000,3050000-201-1981-00374,130844,서울특별시 동대문구 장안동 430-5번지,서울특별시 동대문구 장한로 35 (장안동),2629,신원모텔,여관업,205785.5396,451360.6752,여관업
22256,3050000,3050000-201-1989-00321,130862,서울특별시 동대문구 제기동 443번지,서울특별시 동대문구 약령시로 122-7 (제기동),2573,뉴파크모텔,여관업,203757.4156,453378.1485,여관업
22257,3190000,3190000-201-1973-00041,156854,서울특별시 동작구 신대방동 685-3 외2필지,"서울특별시 동작구 신대방3길 87 (신대방동,외2필지)",7069,옥수장,여관업,191726.9182,442950.1644,여관업
22258,3100000,3100000-201-1974-00032,139815,서울특별시 노원구 상계동 169-199,서울특별시 노원구 한글비석로23길 29 (상계동),1683,동궁,여인숙업,206216.2202,461907.6988,여인숙업
22259,3100000,3100000-201-2009-00001,139942,서울특별시 노원구 상계동 704-1번지,서울특별시 노원구 노해로75길 14-8 (상계동),1689,브이모텔,여관업,205033.4545,461328.8365,여관업
22260,3100000,3100000-201-2005-00002,139942,서울특별시 노원구 상계동 703-2,서울특별시 노원구 노해로75길 14-9 (상계동),1689,호텔어반,여관업,205039.0481,461358.9692,여관업
22261,3190000,3190000-201-1971-00087,156803,서울특별시 동작구 노량진동 231-1,서울특별시 동작구 장승배기로22길 6 (노량진동),6924,호텔노블,여관업,194667.0859,445272.5664,여관업
22262,3190000,3190000-201-1973-00100,156800,서울특별시 동작구 노량진동 28-8 외2필지,"서울특별시 동작구 노량진로6길 2 (노량진동,외2필지)",6927,흥스테이,여관업,194257.8957,445637.8281,여관업
